z,n,name,levelEnergy(MeV),halflife,halflifeUnit,halflifeUncertainty,decayMode,branchingRatio,branchingRatioUncertainty
0,1,Neutron,0,608.9,s,0.3,B-,100,
1,2,3H,0,12.3221,y,0.0106,B-,100,
1,3,4H,0,3.3,MeV,0.3,N,100,
1,4,5H,0,5.3,MeV,0.4,2N,100,
1,6,7H,0,0.18,MeV,+0.47-0.13,2N,,
2,3,5He,0,719,keV,48,N,100,
2,4,6He,0,807.12,ms,0.17,B-,100,
2,5,7He,0,195,keV,4,N,100,
2,6,8He,0,119,ms,1.6,B-,100,
2,6,8He,0,119,ms,1.6,B-N,16,1
2,7,9He,0,180,keV,100,N,100,
2,8,10He,0,1.8,MeV,0.3,2N,100,
3,1,4Li,0,5,MeV,0.5,P,100,
3,2,5Li,0,1.23,MeV,0.0,P,100,
3,5,8Li,0,838.79,ms,0.35,B-,100,
3,5,8Li,0,838.79,ms,0.35,B-A,100,
3,6,9Li,0,178,ms,0.3,B-,100,
3,6,9Li,0,178,ms,0.3,B-A,12.3,0.9
3,6,9Li,0,178,ms,0.3,B-N,51,0.9
3,7,10Li,0,0.23,MeV,<=,N,100,
3,8,11Li,0,8.75,ms,0.1,B-,100,
3,8,11Li,0,8.75,ms,0.1,B-N,84.3,1.3
3,8,11Li,0,8.75,ms,0.1,B-2N,4.2,0.3
3,8,11Li,0,8.75,ms,0.1,B-3N,1.9,0.2
3,8,11Li,0,8.75,ms,0.1,B-A,1.7,0.3
3,9,12Li,0,,,,N,100,
3,10,13Li,0,125,keV,+60-40,2N,100,
4,2,6Be,0,92,keV,6,2P,100,
4,3,7Be,0,53.3,d,0.1,EC,100,
4,4,8Be,0,5.57,eV,0.25,A,100,
4,6,10Be,0,1.39e+06,y,1.16e+04,B-,100,
4,7,11Be,0,13.77,s,0.07,B-,100,
4,7,11Be,0,13.77,s,0.07,B-A,3.3,0.1
4,8,12Be,0,21.46,ms,0.05,B-,100,
4,8,12Be,0,21.46,ms,0.05,B-N,0.5,0.03
4,9,13Be,0,450,keV,30,N,,
4,11,15Be,0,580,keV,200,N,100,
4,12,16Be,0,0.8,MeV,+0.1-0.2,2N,100,
4,10,14Be,0,4.65,ms,0.12,B-,100,
4,10,14Be,0,4.65,ms,0.12,B-N,86,6
4,10,14Be,0,4.65,ms,0.12,B-2N,5,2
4,10,14Be,0,4.65,ms,0.12,B-A,0.004,
5,12,17B,0,5.07,ms,0.05,B-,100,
5,12,17B,0,5.07,ms,0.05,B-N,63,1
5,12,17B,0,5.07,ms,0.05,B-2N,12,2
5,12,17B,0,5.07,ms,0.05,B-3N,3.5,0.7
5,12,17B,0,5.07,ms,0.05,B-4N,0.4,0.3
5,13,18B,0,,,,N,100,
5,14,19B,0,2.92,ms,0.13,B-,100,
5,14,19B,0,2.92,ms,0.13,B-N,71.8,
5,14,19B,0,2.92,ms,0.13,B-2N,16,
5,14,19B,0,2.92,ms,0.13,B-3N,9.1,
5,15,20B,0,500,keV,<=,N,100,
5,16,21B,0,600,keV,<=,2N,100,
5,10,15B,0,10.18,ms,0.35,B-,100,
5,10,15B,0,10.18,ms,0.35,B-N,99.68,
5,10,15B,0,10.18,ms,0.35,B-2N,1.5,
5,11,16B,0,100,keV,<,N,100,
5,2,7B,0,801,keV,20,P,100,
5,3,8B,0,772.1,ms,1.1,EC+B+,100,
5,3,8B,0,772.1,ms,1.1,ECA,100,
5,4,9B,0,540,eV,210,P,100,
5,7,12B,0,20.22,ms,0.04,B-,100,
5,7,12B,0,20.22,ms,0.04,B-A,0.6,0.02
5,8,13B,0,17.16,ms,0.18,B-,100,
5,8,13B,0,17.16,ms,0.18,B-N,0.266,0.025
5,9,14B,0,12.34,ms,0.27,B-,100,
5,9,14B,0,12.34,ms,0.27,B-N,6.04,0.23
6,2,8C,0,130,keV,50,2P,100,
6,3,9C,0,126.5,ms,0.9,EC+B+,100,
6,3,9C,0,126.5,ms,0.9,ECP,62,1.9
6,3,9C,0,126.5,ms,0.9,ECA,37.9,5.8
6,4,10C,0,19.3015,s,0.0018,EC+B+,100,
6,5,11C,0,20.3401,m,0.0041,EC+B+,100,
6,8,14C,0,5686,y,22,B-,100,
6,9,15C,0,2.451,s,0.004,B-,100,
6,14,20C,0,16,ms,3.0,B-,100,
6,14,20C,0,16,ms,3.0,B-N,66,10
6,14,20C,0,16,ms,3.0,B-2N,18.6,
6,13,19C,0,46.3,ms,2.3,B-,100,
